Player,sofa,fotmob,avg
David Raya,7.04,7.21,7.125
Mikel Merino,7.04,7.02,7.03
Riccardo Calafiori,6.97,6.9,6.935
Amadou Onana,6.95,6.95,6.95
Ian Maatsen,6.86,6.81,6.835
Sepp van den Berg,6.92,6.57,6.745
Brajan Gruda,6.81,6.56,6.685
Georginio Rutter,6.83,6.72,6.775
Mats Wieffer,6.8,6.99,6.895
Matt O'Riley,6.86,6.79,6.825
Yankuba Minteh,6.95,7.02,6.985
João Félix,6.84,6.73,6.785
Pedro Neto,7.04,6.97,7.005
Tosin Adarabioyo,6.96,7.08,7.02
Daichi Kamada,6.75,6.53,6.64
Eddie Nketiah,6.74,6.48,6.61
Maxence Lacroix,7.03,6.97,7
Iliman Ndiaye,7.02,7.1,7.06
Jake O'Brien,6.91,6.98,6.945
Tim Iroegbunam,6.63,6.21,6.42
Emile Smith Rowe,6.92,6.88,6.9
Joachim Andersen,7.03,6.94,6.985
Ryan Sessegnon,6.97,6.99,6.98
Sander Berge,6.86,6.82,6.84
Alex Palmer,7.06,6.61,6.835
Arijanet Muric,7.09,6.53,6.81
Ben Johnson,6.51,6.37,6.44
Jack Clarke,6.71,6.58,6.645
Liam Delap,6.86,6.76,6.81
Omari Hutchinson,6.66,6.6,6.63
Bilal El Khannouss,6.91,6.73,6.82
Jordan Ayew,6.67,6.57,6.62
Oliver Skipp,6.58,6.24,6.41
Abdukodir Khusanov,6.75,6.7,6.725
İlkay Gündoğan,7.03,7.19,7.11
Omar Marmoush,7.31,7.27,7.29
Sávio,7.34,7.4,7.37
Joshua Zirkzee,6.64,6.33,6.485
Leny Yoro,6.63,6.45,6.54
Matthijs de Ligt,6.91,6.8,6.855
Noussair Mazraoui,6.96,6.98,6.97
Patrick Dorgu,6.91,6.65,6.78
Lewis Hall,7.24,7.07,7.155
Morato,6.61,6.44,6.525
Nikola Milenković,7.11,7.03,7.07
Aaron Ramsdale,7.12,6.63,6.875
Adam Lallana,6.65,6.57,6.61
Cameron Archer,6.5,6.18,6.34
Mateus Fernandes,6.94,6.98,6.96
Taylor Harwood-Bellis,6.91,6.45,6.68
Welington,6.71,6.88,6.795
Yukinari Sugawara,6.61,6.3,6.455
Antonín Kinský,7.42,7.18,7.3
Archie Gray,6.58,6.18,6.38
Dominic Solanke,6.88,6.64,6.76
Lucas Bergvall,6.74,6.7,6.72
Wilson Odobert,6.61,6.37,6.49
Aaron Wan-Bissaka,7.12,7.23,7.175
Guido Rodríguez,6.75,6.54,6.645
Max Kilman,6.95,6.8,6.875
Niclas Füllkrug,6.85,6.5,6.675
André,6.91,7.02,6.965
Emmanuel Agbadou,7.07,7.08,7.075
Sam Johnstone,6.84,6.31,6.575
Tommy Doyle,6.67,6.51,6.59
Dean Huijsen,7.23,7.22,7.225
Evanilson,7.09,7.01,7.05
Ross Barkley,6.84,6.86,6.85
Diego Gómez,6.7,6.48,6.59
Dara O'Shea,6.94,6.57,6.755
Jacob Greaves,6.86,6.48,6.67
Sammie Szmodics,6.61,6.44,6.525
Caleb Okoli,6.75,6.41,6.58
Elliot Anderson,7.03,7.2,7.115
Jota Silva,6.8,6.58,6.69
Flynn Downes,6.71,6.54,6.625
Crysencio Summerville,6.79,6.54,6.665
Marshall Munetsi,6.81,6.81,6.81
Rodrigo Gomes,6.78,6.51,6.645